('time,pressure,temperature,'humidity,gyro_x,gyro_y,gyro_z,uv_index,ir_light,visible_light,eco2,tvoc,rawh2,rawethanol,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,latitude,longitude,altitude,speed,course,acc,gyro,mag),
('2021-03-27 14:43:55.535591',101.75,23.93,-52.17,-0.49,0.37,-0.31,5.42,8597.0,1268.0,429.0,8.0,15195.0,19236.0,-0.15,-0.05,0.99,18.36,5.65,-32.6,44.26100249,26.00242897,131.3,0.0,135.3,1.002546757,0.6878226516,37.83876451),
('2021-03-27 14:43:57.625805',101.75,23.9,-52.1,-0.49,0.37,-0.37,5.41,8602.0,1266.0,425.0,7.0,15195.0,19234.0,-0.15,-0.05,0.99,18.31,5.51,-35.3,44.26100254,26.00242893,131.2,0.0,135.3,1.002546757,0.7168681887,40.14606083),
('2021-03-27 14:43:59.710587',101.75,23.91,-51.95,-0.24,0.18,-0.55,5.42,8628.0,1269.0,415.0,9.0,15204.0,19240.0,-0.15,-0.05,0.99,17.97,6.15,-34.9,44.26100258,26.002428920000003,131.2,0.0,135.3,1.002546757,0.6264982043,39.73352992),
('2021-03-27 14:44:03.365535',101.75,23.97,-52.2,-0.43,0.49,-0.61,5.4,8595.0,1265.0,400.0,2.0,15226.0,19248.0,-0.15,-0.05,0.99,17.77,6.29,-35.1,44.26100262,26.00242887,131.2,0.0,135.3,1.002546757,0.8928045699,39.84152357),
('2021-03-27 14:44:05.424725',101.74,23.93,-52.15,-0.55,0.37,-0.55,5.41,8604.0,1267.0,400.0,0.0,15248.0,19262.0,-0.15,-0.05,0.99,18.9,6.21,-34.2,44.261002669999996,26.002428839999997,131.2,0.0,135.3,1.002546757,0.8613361713,39.56531435),
('2021-03-27 14:44:10.709919',101.74,23.97,-52.19,-0.49,0.12,-0.49,5.41,8601.0,1266.0,400.0,0.0,15255.0,19267.0,-0.15,-0.05,0.99,18.08,6.54,-35.1,44.26100278,26.002428730000002,131.2,0.0,135.3,1.002546757,0.7032780389,40.02084457),
('2021-03-27 14:44:15.270374',101.75,23.82,-52.03,-0.49,0.37,-0.55,5.4,8597.0,1264.0,400.0,0.0,15265.0,19279.0,-0.15,-0.05,0.99,18.46,5.87,-33.2,44.261002829999995,26.00242867,131.2,0.0,135.3,1.002546757,0.8243178998,38.43785244),
('2021-03-27 14:44:17.380342',101.75,23.8,-51.98,-0.24,0.31,-0.55,5.41,8608.0,1267.0,400.0,0.0,15260.0,19286.0,-0.15,-0.05,0.99,18.09,6.47,-35.2,44.26100288,26.002428610000003,131.2,0.0,135.3,1.002546757,0.6754257916,40.10173313),
('2021-03-27 14:44:19.455489',101.74,23.91,-52.21,-0.55,0.31,-0.49,5.43,8615.0,1271.0,400.0,0.0,15246.0,19281.0,-0.15,-0.05,0.99,18.07,6.46,-35.1,44.2610029,26.002428570000003,131.2,0.0,135.3,1.002546757,0.799187087,40.00333111),
('2021-03-27 14:44:23.174852',101.75,23.86,-52.02,-0.37,0.18,-0.31,5.41,8615.0,1267.0,400.0,0.0,15237.0,19273.0,-0.15,-0.05,0.99,18.46,5.9,-35.3,44.261002950000005,26.0024285,131.1,0.0,135.3,1.002546757,0.5151698749,40.26998386),
('2021-03-27 14:44:25.300731',101.74,23.91,-52.15,-0.49,0.24,-0.37,5.41,8601.0,1269.0,400.0,0.0,15237.0,19276.0,-0.15,-0.05,0.99,18.43,5.94,-34.7,44.26100297,26.00242842,131.1,0.0,135.3,1.002546757,0.659241989,39.73711741),
('2021-03-27 14:44:28.975803',101.75,23.8,-51.94,-0.43,0.31,-0.49,5.44,8626.0,1272.0,400.0,0.0,15239.0,19286.0,-0.15,-0.05,0.99,18.29,6.12,-35.5,44.261002989999994,26.00242834,131.1,0.0,135.3,1.002546757,0.7218725649,40.40084776),
('2021-03-27 14:44:31.129841',101.75,23.86,-52.11,-0.49,0.37,-0.55,5.42,8608.0,1269.0,400.0,0.0,15253.0,19287.0,-0.15,-0.05,0.99,18.41,5.98,-33.7,44.26100301,26.00242831,131.1,0.0,135.3,1.002546757,0.8243178998,38.86358836),
('2021-03-27 14:44:33.225248',101.73,23.84,-51.91,-0.55,0.37,-0.37,5.43,8618.0,1271.0,400.0,0.0,15259.0,19292.0,-0.15,-0.05,0.99,18.79,5.97,-33.5,44.261003030000005,26.002428289999997,131.1,0.0,135.3,1.002546757,0.7591442551,38.87100462),
('2021-03-27 14:44:35.325381',101.74,23.73,-51.85,-0.55,0.43,-0.37,5.43,8619.0,1270.0,400.0,0.0,15288.0,19307.0,-0.15,-0.04,0.98,17.69,5.77,-35.6,44.261003069999994,26.00242823,131.1,0.0,135.3,0.9922197337,0.7901265721,40.16950336),
('2021-03-27 14:44:39.114030',101.74,23.49,-51.93,-0.61,0.37,-0.67,5.42,8608.0,1268.0,400.0,0.0,15306.0,19317.0,-0.15,-0.05,0.99,18.65,5.63,-33.8,44.261003110000004,26.002428209999998,131.1,0.0,135.3,1.002546757,0.9787236586,39.01229806),
('2021-03-27 14:44:41.210016',101.74,23.43,-51.77,-0.49,0.24,-0.61,5.42,8617.0,1268.0,400.0,0.0,15302.0,19328.0,-0.15,-0.05,0.99,17.83,6.26,-34.6,44.261003110000004,26.00242816,131.1,0.0,135.3,1.002546757,0.8184130986,39.42405991),
('2021-03-27 14:44:43.310105',101.75,23.49,-51.84,-0.67,0.31,-0.55,5.42,8616.0,1269.0,400.0,0.0,15284.0,19313.0,-0.15,-0.05,0.99,18.41,5.83,-34.6,44.261003099999996,26.00242815,131.1,0.0,135.3,1.002546757,0.920597632,39.62419715),
('2021-03-27 14:44:45.424595',101.73,23.64,-51.76,-0.49,0.49,-0.49,5.42,8618.0,1269.0,400.0,0.0,15284.0,19315.0,-0.15,-0.05,0.99,18.4,6.14,-34.6,44.26100312,26.00242811,131.1,0.0,135.3,1.002546757,0.8487048957,39.6663535),
('2021-03-27 14:44:47.525806',101.75,23.5,-51.93,-0.43,0.18,-0.37,5.41,8606.0,1267.0,400.0,0.0,15288.0,19328.0,-0.15,-0.05,0.99,18.57,5.83,-34.7,44.26100314,26.002428100000003,131.1,0.0,135.3,1.002546757,0.5951470407,39.78597492),
('2021-03-27 14:44:50.419609',101.74,23.49,-51.82,-0.37,0.31,-0.43,5.42,8598.0,1268.0,400.0,0.0,15286.0,19332.0,-0.15,-0.05,0.99,17.52,5.79,-35.0,44.26100316,26.00242805,131.1,0.0,135.3,1.002546757,0.6464518544,39.56607764),
('2021-03-27 14:44:53.314738',101.74,23.39,-51.65,-0.49,0.18,-0.43,5.41,8604.0,1269.0,400.0,0.0,15288.0,19321.0,-0.15,-0.05,0.99,18.26,5.92,-32.7,44.2610032,26.00242795,131.1,0.0,135.3,1.002546757,0.6763135368,37.91785859),
('2021-03-27 14:44:56.209869',101.74,23.32,-51.67,-0.24,0.43,-0.79,5.38,8533.0,1261.0,580.0,115.0,15081.0,19152.0,-0.15,-0.05,0.99,17.7,6.64,-35.3,44.26100323,26.002427899999997,131.1,0.0,135.3,1.002546757,0.9309135298,40.04334651),
('2021-03-27 14:44:59.160652',101.73,23.32,-51.71,-0.43,0.43,-0.37,5.38,8528.0,1261.0,585.0,111.0,15070.0,19148.0,-0.15,-0.05,0.99,17.87,6.16,-35.2,44.26100327,26.00242787,131.1,0.0,135.3,1.002546757,0.7118286311,39.95400481),
('2021-03-27 14:45:01.225035',101.75,25.65,-51.69,-0.43,0.37,-0.55,5.37,8508.0,1260.0,588.0,114.0,15066.0,19149.0,-0.15,-0.05,0.99,18.04,6.24,-34.1,44.2610033,26.00242777,131.1,0.0,135.3,1.002546757,0.7901265721,39.07926816),
('2021-03-27 14:45:03.269164',101.75,25.63,-51.75,-0.31,0.43,-0.43,5.38,8511.0,1261.0,569.0,110.0,15083.0,19150.0,-0.15,-0.05,0.99,17.6,5.9,-33.7,44.26100333,26.002427710000003,131.1,0.0,135.3,1.002546757,0.6825686779,38.47414716),
('2021-03-27 14:45:05.205763',101.73,25.59,-51.71,-0.31,0.43,-0.67,5.38,8512.0,1261.0,564.0,111.0,15084.0,19149.0,-0.15,-0.05,0.99,17.44,6.91,-36.3,44.26100337,26.002427670000003,131.1,0.0,135.3,1.002546757,0.854341852,40.86063754),
('2021-03-27 14:45:07.175881',101.74,25.55,-51.7,-0.24,0.12,-0.37,5.37,8512.0,1260.0,571.0,109.0,15090.0,19154.0,-0.15,-0.05,0.99,18.15,6.08,-34.1,44.261003419999994,26.002427630000003,131.1,0.0,135.3,1.002546757,0.4570557953,39.10497283),
('2021-03-27 14:45:09.195019',101.74,25.55,-51.78,-0.31,0.49,-0.49,5.38,8522.0,1263.0,570.0,111.0,15080.0,19143.0,-0.15,-0.05,0.99,17.54,6.19,-34.3,44.261003460000005,26.00242758,131.1,0.0,135.3,1.002546757,0.7591442551,39.01868399),
('2021-03-27 14:45:11.255382',101.74,25.53,-51.92,-0.37,0.31,-0.37,5.38,8521.0,1261.0,556.0,108.0,15090.0,19145.0,-0.15,-0.05,0.99,18.84,6.08,-32.7,44.261003499999994,26.00242753,131.1,0.0,135.3,1.002546757,0.608194048,38.225672),
('2021-03-27 14:45:14.070123',101.75,25.39,-51.92,-0.31,0.37,-0.49,5.37,8504.0,1259.0,564.0,112.0,15094.0,19148.0,-0.15,-0.05,0.99,18.04,6.36,-35.1,44.26100357,26.002427510000004,131.1,0.0,135.3,1.002546757,0.6878226516,39.97375639),
('2021-03-27 14:45:16.140938',101.73,25.42,-51.74,-0.49,0.31,-0.49,5.38,8523.0,1261.0,548.0,115.0,15096.0,19153.0,-0.15,-0.05,0.99,17.7,6.84,-35.3,44.261003620000004,26.00242746,131.1,0.0,135.3,1.002546757,0.7591442551,40.0769959),
('2021-03-27 14:45:18.175707',101.75,25.33,-51.79,-0.37,0.43,-0.49,5.38,8519.0,1261.0,553.0,108.0,15095.0,19148.0,-0.15,-0.05,0.99,18.2,6.46,-33.9,44.26100366,26.00242745,131.1,0.0,135.3,1.002546757,0.7495998933,39.01514578),
('2021-03-27 14:45:20.259994',101.75,25.35,-51.94,-0.37,0.18,-0.37,5.38,8513.0,1261.0,555.0,106.0,15101.0,19154.0,-0.15,-0.05,0.99,18.16,6.57,-34.9,44.261003689999995,26.00242742,131.1,0.0,135.3,1.002546757,0.5533534133,39.8868462),
('2021-03-27 14:45:22.385087',101.75,25.37,-51.88,-0.43,0.55,-0.43,5.37,8518.0,1259.0,569.0,113.0,15081.0,19145.0,-0.15,-0.05,0.99,17.86,6.31,-34.8,44.26100373,26.00242742,131.0,0.0,135.3,1.002546757,0.8199390221,39.62115218),
('2021-03-27 14:45:24.535600',101.75,25.46,-52.0,-0.43,0.0,-0.31,5.37,8501.0,1262.0,590.0,118.0,15073.0,19142.0,-0.15,-0.05,0.99,18.44,6.21,-34.0,44.26100374,26.00242741,131.0,0.0,135.3,1.002546757,0.5300943312,39.17394159),
